id,type,name,country,lat,lon
0001,Market Affiliate,Market Affiliate Germany,DE,53.550341,10.000654
0009,Production Center,Production Center Germany 01,DE,52.5173885,13.3951309
0024,Production Center,Production Center Mexico,MX,20.943727,-101.427043
0025,Market Affiliate,Market Affiliate Chile,CL,-33.4288379,-70.6113373
0026,Production Center,Production Center Thailand,TH,13.6531651,100.8182578
0027,Market Affiliate,Market Affiliate Germany 02,DE,53.550341,10.000654
0029,Market Affiliate,Market Affiliate China,CN,31.2312707,121.4700152
0031,Market Affiliate,Market Affiliate Australia,AU,-33.7975472,151.127306
0032,Market Affiliate,Market Affiliate Belgium,BE,50.8390983,4.3296526
0033,Market Affiliate,Market Affiliate Brazil,BR,-23.5506507,-46.6333824
0035,Market Affiliate,Market Affiliate Costa Rica,CR,9.9327707,-84.0796144
0036,Market Affiliate,Market Affiliate Denmark,DK,55.6867243,12.5700724
0037,Market Affiliate,Market Affiliate Peru,PE,-12.0459808,-77.0305912
0038,Market Affiliate,Market Affiliate Finland,FI,60.4515944,22.2669983
0040,Market Affiliate,Market Affiliate France,FR,48.8588897,2.320041
0044,Market Affiliate,Market Affiliate Greece,GR,37.9755648,23.7348324
0045,Market Affiliate,Market Affiliate United Kingdom,GB,52.4796992,-1.9026911
0046,Market Affiliate,Market Affiliate Guatemala,GT,14.6416142,-90.5132836
0048,Market Affiliate,Market Affiliate Indonesia,ID,-6.1754049,106.827168
0049,Market Affiliate,Market Affiliate India,IN,19.054999,72.8692035
0050,Market Affiliate,Market Affiliate Venezuela,VE,10.5060934,-66.9146008
0051,Market Affiliate,Market Affiliate Italy,IT,45.4641943,9.1896346
0052,Market Affiliate,Market Affiliate Japan,JP,35.6768601,139.7638947
0055,Market Affiliate,Market Affiliate Canada,CA,45.5088774,-73.6875187
0056,Market Affiliate,Market Affiliate Kenya,KE,-1.3026148,36.828842
0057,Market Affiliate,Market Affiliate Colombia,CO,4.6533817,-74.0836331
0058,Market Affiliate,Market Affiliate Malaysia,MY,3.0988792,101.6454202
0059,Market Affiliate,Market Affiliate Morocco,MA,33.5945144,-7.6200284
0060,Market Affiliate,Market Affiliate Mexico,MX,19.3207722,-99.1514678
0061,Market Affiliate,Market Affiliate Netherlands,NL,52.3730796,4.8924534
0063,Market Affiliate,Market Affiliate Norway,NO,59.9133301,10.7389701
0064,Market Affiliate,Market Affiliate Austria,AT,48.2083537,16.3725042
0065,Market Affiliate,Market Affiliate Panama,PA,8.9714493,-79.5341802
0066,Market Affiliate,Market Affiliate Portugal,PT,38.7565837,-9.2545225
0067,Market Affiliate,Market Affiliate El Salvador,SV,13.697629,-89.191156
0068,Market Affiliate,Market Affiliate Sweden,SE,57.7072326,11.9670171
0070,Market Affiliate,Market Affiliate Switzerland,CH,47.5581077,7.5878261
0071,Market Affiliate,Market Affiliate Hungary,HU,47.4813896,19.1460941
0076,Market Affiliate,Market Affiliate South Korea,KR,37.5666791,126.9782914
0077,Market Affiliate,Market Affiliate Thailand,TH,13.7238221,100.507985
0079,Market Affiliate,Market Affiliate United States,US,41.0534302,-73.5387341
